order_id,amount,mdr,gst,category,status
order_0001,32043.45,488.67,87.96,retail_goods,captured
order_0002,12395.61,203.23,36.58,professional_services,captured
order_0003,33899.63,810.94,145.97,professional_services,captured
order_0004,29606.53,453.51,81.63,professional_services,captured
order_0005,11088.17,222.36,40.02,professional_services,failed
order_0006,28150.0,623.81,112.29,food,captured
order_0007,21092.09,411.13,74.0,retail_goods,captured
order_0008,40509.64,610.28,109.85,software,captured
order_0009,34967.34,643.49,115.83,software,captured
order_0010,10922.63,247.23,44.5,professional_services,captured
order_0011,4818.74,76.94,13.85,retail_goods,captured
order_0012,30265.56,698.27,125.69,consulting,captured
order_0013,26904.16,665.37,119.77,consulting,captured
order_0014,4124.25,73.96,13.31,food,captured
order_0015,44295.5,824.62,148.43,software,captured
order_0016,35287.68,545.49,98.19,software,captured
order_0017,38698.8,961.75,173.11,software,failed
order_0018,43350.89,815.05,146.71,consulting,captured
order_0019,31857.09,594.08,106.93,retail_goods,captured
order_0020,17892.48,388.3,69.89,professional_services,captured
order_0021,30534.72,510.28,91.85,software,captured
order_0022,8337.44,156.7,28.21,food,captured
order_0023,11136.84,203.17,36.57,professional_services,captured
order_0024,11606.59,177.82,32.01,retail_goods,captured
order_0025,20178.01,316.03,56.89,food,captured
order_0026,43843.11,795.61,143.21,consulting,captured
order_0027,19902.47,480.55,86.5,consulting,captured
order_0028,7315.01,119.94,21.59,food,captured
order_0029,27041.07,607.62,109.37,consulting,captured
order_0030,44911.58,853.05,153.55,software,captured
order_0031,49866.82,816.98,147.06,consulting,captured
order_0032,4727.29,73.14,13.17,professional_services,captured
order_0033,7811.5,129.67,23.34,consulting,failed
order_0034,29901.17,563.57,101.44,food,captured
order_0035,49806.84,1010.64,181.92,food,captured
order_0036,43066.83,650.95,117.17,professional_services,captured
order_0037,34149.18,695.61,125.21,retail_goods,captured
order_0038,38476.22,708.03,127.45,retail_goods,captured
order_0039,21851.31,426.91,76.84,retail_goods,captured
order_0040,48600.03,1099.31,197.88,food,captured
order_0041,45648.87,1082.11,194.78,retail_goods,captured
order_0042,42115.13,845.53,152.2,software,captured
order_0043,7811.4,176.73,31.81,food,captured
order_0044,47684.29,1155.12,207.92,professional_services,captured
order_0045,30027.44,597.13,107.48,professional_services,captured
order_0046,46469.11,1105.37,198.97,retail_goods,captured
order_0047,12124.73,211.08,37.99,food,captured
order_0048,47358.08,750.94,135.17,consulting,failed
order_0049,40837.96,1011.96,182.15,food,captured
order_0050,38338.55,624.3,112.37,consulting,captured
order_0051,47353.06,788.49,141.93,food,captured
order_0052,43647.17,839.4,151.09,software,captured
order_0053,46459.89,1047.79,188.6,software,captured
order_0054,35704.86,678.03,122.05,retail_goods,captured
order_0055,22017.38,444.22,79.96,professional_services,captured
order_0056,12545.7,196.22,35.32,professional_services,captured
order_0057,29497.77,510.35,91.86,software,captured
order_0058,558.1,12.32,2.22,professional_services,captured
order_0059,11601.3,279.06,50.23,retail_goods,captured
order_0060,3728.7,64.8,11.66,consulting,captured
