order_id,amount_settled,settlement_status,utr,settlement_date
order_0001,31466.82,captured,UTR423511615594,2026-01-17
order_0002,12155.8,captured,UTR192832764835,2026-01-22
order_0003,32942.72,captured,UTR532871012269,2026-01-25
order_0004,29071.39,captured,UTR482814893252,2026-07-29
order_0006,27413.9,captured,UTR393010310518,2026-04-03
order_0007,20606.96,captured,UTR651333872624,2026-06-29
order_0008,39789.51,captured,UTR468723430980,2026-05-02
order_0009,34208.02,captured,UTR399091699854,2026-03-21
order_0010,10412.45,captured,UTR849808412411,2026-08-03
order_0011,4727.95,captured,UTR680112805982,2026-06-16
order_0012,29441.6,captured,UTR232260256342,2026-02-11
order_0013,26119.02,captured,UTR850142940196,2026-05-15
order_0014,4036.98,captured,UTR484656482366,2026-03-09
order_0015,43322.45,captured,UTR433200379176,2026-08-12
order_0016,34644.0,captured,UTR957986872774,2026-04-07
order_0018,42389.13,captured,UTR893734670656,2026-03-06
order_0019,31156.09,captured,UTR646417080531,2026-01-16
order_0020,17434.29,captured,UTR419049663193,2026-02-09
order_0021,29932.59,captured,UTR498776945314,2026-06-25
order_0022,7985.78,captured,UTR770143634957,2026-08-03
order_0023,10897.1,captured,UTR894134352408,2026-02-19
order_0024,11396.76,captured,UTR711671902294,2026-02-03
order_0025,19805.09,captured,UTR232812067974,2026-01-13
order_0026,42904.29,captured,UTR471746488771,2026-08-21
order_0027,19472.92,captured,UTR565512567468,2026-01-15
order_0028,7173.48,captured,UTR109324808613,2026-02-14
order_0029,26324.08,captured,UTR658404499727,2026-07-29
order_0030,43904.98,captured,UTR895171870262,2026-01-30
order_0031,48902.78,captured,UTR240050455623,2026-07-26
order_0032,4640.98,captured,UTR647436713695,2026-08-12
order_0033,7658.49,captured,UTR421047095214,2026-05-07
order_0034,29236.16,captured,UTR685160481754,2026-08-16
order_0035,48614.28,captured,UTR138267586926,2026-02-08
order_0036,42298.71,captured,UTR931839335290,2026-04-18
order_0037,33328.36,captured,UTR177589178390,2026-07-22
order_0038,37640.74,captured,UTR183673657661,2026-05-02
order_0039,21347.56,captured,UTR560494519832,2026-07-07
order_0040,47302.84,captured,UTR550229612018,2026-03-25
order_0041,43459.0,captured,UTR438156149784,2026-01-18
order_0042,41117.4,captured,UTR060715969664,2026-02-14
order_0043,7602.86,captured,UTR883552312432,2026-08-22
order_0044,46458.75,captured,UTR581477005411,2026-08-19
order_0045,29322.83,captured,UTR889255466590,2026-05-10
order_0046,45164.77,captured,UTR281685054235,2026-07-08
order_0047,11875.66,captured,UTR706537947383,2026-05-01
order_0049,39643.85,captured,UTR153051522047,2026-02-23
order_0050,37601.88,captured,UTR893246095396,2026-03-14
order_0051,46422.64,captured,UTR520585277221,2026-06-27
order_0052,42656.68,captured,UTR566765277584,2026-02-02
order_0053,45223.5,captured,UTR640165820297,2026-01-14
order_0054,34904.78,captured,UTR102786814473,2026-04-21
order_0055,21493.21,captured,UTR237058957829,2026-02-03
order_0056,12314.16,captured,UTR242253584143,2026-08-02
order_0057,28895.56,captured,UTR439690784473,2026-06-07
order_0058,543.56,captured,UTR963259532787,2026-07-13
order_0059,11272.01,captured,UTR358416878499,2026-02-16
order_0060,3652.24,captured,UTR825952694958,2026-07-17
order_0061,292.81,captured,UTR879470551694,2026-01-11
